subject_id,session_id,window_idx,label,gsr_mean,gsr_max,gsr_std,gsr_slope,hr_mean,hrv_rmssd
S01,20260419T172557,0,NEUTRAL,112.0,113.0,0.6324555320336759,-0.03527204502814416,0.0,0.0
S01,20260419T172557,1,NEUTRAL,111.225,112.0,0.757875319561206,-0.051125703564728356,26.325,17.774225072364672
S01,20260419T172557,2,NEUTRAL,109.85,112.0,1.1302654555457314,-0.07861163227016985,66.2,17.95792803992653
S01,20260419T172557,3,NEUTRAL,108.3,112.0,1.1874342087037917,-0.08968105065666113,77.875,2.562050460881394
S01,20260419T172557,4,NEUTRAL,105.775,109.0,2.196445992962267,-0.1837711069418389,73.0,2.562050460881394
S01,20260419T172557,5,NEUTRAL,101.85,106.0,2.5937424698685874,-0.22063789868668082,68.3,2.9395621512438956
S01,20260419T172557,6,NEUTRAL,98.45,102.0,1.5960889699512366,-0.12457786116322982,69.2,2.401922307076307
S01,20260419T172557,7,NEUTRAL,95.9,99.0,1.4798648586948742,-0.11407129455910055,79.9,1.9215378456610457
S01,20260419T172557,8,NEUTRAL,93.35,96.0,1.4585952145814822,-0.11819887429643597,93.25,3.682947537517004
S01,20260419T172557,9,NEUTRAL,91.05,93.0,1.2835497652993435,-0.10581613508442932,95.575,6.441054221723296
S01,20260419T172557,10,NEUTRAL,89.175,91.0,1.1377060252982754,-0.09240150093808772,87.7,5.804507532281072
S01,20260419T172557,11,NEUTRAL,87.0,90.0,1.6431676725154984,-0.13921200750469054,86.875,2.401922307076307
S01,20260419T172557,12,NEUTRAL,84.8,87.0,1.2288205727444508,-0.0799249530956852,82.95,4.963972767957701
S01,20260419T172557,13,NEUTRAL,83.35,85.0,0.9630680142129111,-0.055159474671670705,72.5,14.487837516256036
S01,20260419T172557,14,NEUTRAL,81.625,84.0,1.3908181045701122,-0.1166041275797398,72.55,13.610893073432406
S01,20260419T172557,15,NEUTRAL,79.55,82.0,1.182159041753689,-0.08649155722326521,75.4,15.052046457678191
S01,20260419T172557,16,NEUTRAL,79.575,82.0,1.159471862530523,0.085647279549718,76.125,15.052046457678191
S01,20260419T172557,17,NEUTRAL,81.175,87.0,1.514719445970111,0.08395872420262596,76.625,19.855891071830804
S01,20260419T172557,18,NEUTRAL,84.275,87.0,2.8105826798014677,0.21829268292682774,75.9,19.855891071830804
S01,20260419T172557,19,NEUTRAL,86.15,87.0,0.9096702699330126,-0.055534709193246184,77.625,3.8430756913220914
S01,20260419T172557,20,NEUTRAL,84.225,87.0,1.5409007106234975,-0.13011257035647367,80.375,11.09515948973083
S01,20260419T172557,21,NEUTRAL,81.525,84.0,1.6122577337386228,-0.13592870544090152,73.75,10.408329997330663
S01,20260419T172557,22,NEUTRAL,78.725,82.0,1.6276900810658028,-0.13011257035647328,67.0,2.562050460881394
S01,20260419T172557,23,NEUTRAL,76.6,79.0,0.9433981132056604,-0.0692307692307696,67.0,2.562050460881394
S01,20260419T172557,24,NEUTRAL,75.25,77.0,0.8874119674649424,-0.07091932457786242,66.0,24.339479378373245
S01,20260419T172557,25,NEUTRAL,73.825,75.0,0.9457140159688868,-0.07795497185741097,65.75,1.9215378456610457
S01,20260419T172557,26,NEUTRAL,72.35,74.0,0.88175960442742,-0.07185741088180231,67.25,1.9215378456610457
S01,20260419T172557,27,NEUTRAL,71.05,72.0,0.7729812416870153,-0.06285178236397951,67.15,1.9215378456610457
S01,20260419T172557,28,NEUTRAL,69.75,71.0,0.8874119674649424,-0.0718574108818021,66.325,1.9215378456610457
S01,20260419T172557,29,NEUTRAL,68.9,70.0,0.5385164807134505,-0.019136960600376375,66.675,0.0
S01,20260419T172557,30,NEUTRAL,72.95,91.0,5.674284095813322,0.4281425891181981,67.4,2.24179415327122
S01,20260419T172557,31,NEUTRAL,90.425,125.0,15.631518640234544,1.3252345215759842,71.475,5.7400973814664455
S01,20260419T172557,32,NEUTRAL,114.9,127.0,13.38992158304148,1.0536585365853657,77.225,9.065290242429482
S01,20260419T172557,33,NEUTRAL,125.7,127.0,0.7483314773547882,-0.04071294559099654,79.65,7.365895075034008
S01,20260419T172557,34,NEUTRAL,123.6,126.0,2.177154105707724,-0.17073170731707515,77.75,4.963972767957701
S01,20260419T172557,35,NEUTRAL,119.475,125.0,2.940981978863522,-0.25131332082551705,75.25,6.689064937910959
S01,20260419T172557,36,NEUTRAL,116.05,120.0,1.9993749023132206,-0.07504690431519923,75.0,4.48358830654244
S01,20260419T172557,37,NEUTRAL,115.075,117.0,1.6490527584040482,0.006285178236395611,71.2,0.8006407690254357
S01,20260419T172557,38,NEUTRAL,114.025,117.0,1.4228053275132195,-0.10984990619137246,66.825,4.08248290463863
S01,20260419T172557,39,NEUTRAL,111.925,113.0,1.126665433924375,-0.09052532833020953,65.1,4.08248290463863
S01,20260419T172557,40,NEUTRAL,109.975,112.0,1.083685840084662,-0.08939962476548032,63.475,0.8006407690254357
S01,20260419T172557,41,NEUTRAL,108.0,110.0,1.2449899597988732,-0.10337711069418394,63.175,3.2025630761017427
S01,20260419T172557,42,NEUTRAL,106.125,108.0,1.122218784373172,-0.09165103189493518,63.675,3.2025630761017427
S98,20260417T210421,0,RELAXED,4.96111245079158,5.569631552949997,0.4177742181521735,0.0348841947356744,70.30299305687427,0.5241559983047661
S98,20260417T210421,1,RELAXED,5.338912672297936,5.569631552949997,0.15173688536739,0.0033883975683189913,69.19757703158965,0.5697320657011495
S98,20260417T210421,2,RELAXED,5.319451303998768,5.548521377725992,0.12368927010995277,-0.0055880100284961196,71.69217126877071,0.6409428706347882
